year,month,month_code,district,total_snap_persons,total_snap_households,total_snap_benefits,temporary_assistance_snap_persons,non_temporary_assistance_snap_persons
2025,April,4,Warren,6968,4289,1282722,1181,5787
2025,April,4,Ulster,17558,11039,3572702,3561,13997
2025,April,4,Tompkins,7677,4793,1505107,1706,5971
2025,April,4,Tioga,5332,2876,862584,822,4510
2025,April,4,Sullivan,13028,6572,2635090,2107,10921
2025,April,4,Suffolk,128157,80400,27978712,20670,107487
2025,April,4,Steuben,12383,6893,2179204,2602,9781
2025,April,4,Seneca,3568,2060,630481,740,2828
2025,April,4,Schuyler,1927,1168,333778,291,1636
2025,April,4,Schoharie,3917,2280,698661,536,3381
2025,April,4,Schenectady,20998,11579,4209118,5088,15910
2025,April,4,Saratoga,14694,9038,2689993,2002,12692
2025,April,4,St. Lawrence,13738,7948,2521807,3092,10646
2025,April,4,Rockland,53311,18724,10304631,3831,49480
2025,April,4,Rensselaer,15862,8624,3022807,3470,12392
2025,April,4,Putnam,2960,2034,603521,566,2394
2025,April,4,Otsego,6774,3956,1210396,965,5809
2025,April,4,Oswego,17190,9445,3160126,3356,13834
2025,April,4,Orleans,5297,3144,934632,1263,4034
2025,April,4,Orange,45578,19673,8617485,6436,39142
2025,April,4,Ontario,9350,5764,1754514,2140,7210
2025,April,4,Onondaga,65903,36835,12954646,17962,47941
2025,April,4,Oneida,36819,19702,7061686,8568,28251
2025,April,4,Niagara,27254,16285,5213185,5454,21800
2025,April,4,Nassau,43726,31558,8530075,14236,29490
2025,April,4,Montgomery,8430,4589,1563754,1678,6752
2025,April,4,Monroe,108288,63219,22092680,28298,79990
2025,April,4,Madison,6327,3687,1148888,1001,5326
2025,April,4,Livingston,5399,3249,973399,1167,4232
2025,April,4,Lewis,2880,1648,466694,439,2441
2025,April,4,Jefferson,14524,8236,2687626,2578,11946
2025,April,4,Herkimer,9188,5303,1653961,1260,7928
2025,April,4,Hamilton,356,204,58447,47,309
2025,April,4,Greene,3937,2548,805366,867,3070
2025,April,4,Genesee,4851,2984,842872,879,3972
2025,April,4,Fulton,7972,4916,1517681,1758,6214
2025,April,4,Franklin,6856,4093,1292521,1704,5152
2025,April,4,Essex,2992,1882,523139,561,2431
2025,April,4,Erie,141177,78420,27921839,32627,108550
2025,April,4,Dutchess,17016,11020,3429373,3651,13365
2025,April,4,Delaware,4831,2835,844903,758,4073
2025,April,4,Cortland,5614,3344,1052366,1119,4495
2025,April,4,Columbia,5204,3336,987602,1210,3994
2025,April,4,Clinton,11868,7441,2239990,2840,9028
2025,April,4,Chemung,14461,8220,2816042,2770,11691
2025,April,4,Chautauqua,23647,13311,4467105,6138,17509
2025,April,4,Cayuga,8790,5085,1601494,1968,6822
2025,April,4,Cattaraugus,10626,6080,1866744,2472,8154
2025,April,4,Broome,26673,15541,5221043,7052,19621
2025,April,4,Allegany,5325,3126,918634,1083,4242
2025,April,4,Albany,32402,18572,6433932,7551,24851
2025,May,5,New York City,1796331,1076052,417301818,817779,978552
2025,May,5,Albany,32298,18525,6421588,7634,24664
2025,May,5,Allegany,5321,3116,920766,1086,4235
2025,May,5,Broome,26747,15558,5141865,7034,19713
2025,May,5,Cattaraugus,10602,6073,1866621,2470,8132
2025,May,5,Cayuga,8748,5056,1596148,1943,6805
2025,May,5,Chautauqua,23504,13251,4445251,6141,17363
2025,May,5,Chemung,14287,8134,2779913,2715,11572
2025,May,5,Chenango,6635,3913,1167656,1156,5479
2025,May,5,Clinton,11828,7407,2238818,2861,8967
2025,May,5,Columbia,5187,3318,980460,1219,3968
2025,May,5,Cortland,5633,3357,1063093,1130,4503
2025,May,5,Delaware,4857,2842,849935,777,4080
2025,May,5,Dutchess,17086,11080,3433463,3693,13393
2025,May,5,Erie,141325,78445,27999079,33004,108321
2025,May,5,Essex,3017,1899,537563,577,2440
2025,May,5,Franklin,6785,4088,1282613,1725,5060
2025,May,5,Fulton,8032,4934,1542988,1796,6236
2025,May,5,Genesee,4826,2962,832456,881,3945
2025,May,5,Greene,3957,2559,786699,877,3080
2025,May,5,Hamilton,353,202,57227,47,306
2025,May,5,Herkimer,9107,5263,1640555,1256,7851
2025,May,5,Jefferson,14458,8243,2689651,2599,11859
2025,May,5,Lewis,2869,1640,467637,430,2439
2025,May,5,Livingston,5300,3208,955101,1156,4144
2025,May,5,Madison,6306,3689,1150004,1003,5303
2025,May,5,Monroe,108048,63045,22048645,28108,79940
2025,May,5,Montgomery,8405,4568,1561604,1690,6715
2025,May,5,Nassau,43762,31625,8546832,14143,29619
2025,May,5,Niagara,27244,16277,5219318,5433,21811
2025,May,5,Oneida,36871,19784,7085585,8568,28303
2025,May,5,Onondaga,65771,36780,12997702,17834,47937
2025,May,5,Ontario,9252,5721,1724962,2083,7169
2025,May,5,Orange,44929,19465,8444311,6411,38518
2025,May,5,Orleans,5274,3129,933167,1233,4041
2025,May,5,Oswego,17134,9441,3151638,3361,13773
2025,May,5,Otsego,6749,3945,1210969,953,5796
2025,May,5,Putnam,2949,2024,597898,555,2394
2025,May,5,Rensselaer,15933,8619,3027647,3435,12498
2025,May,5,Rockland,53377,18738,10284925,3829,49548
2025,May,5,St. Lawrence,13687,7933,2525500,3112,10575
2025,May,5,Saratoga,14673,9039,2689161,2010,12663
2025,May,5,Schenectady,21192,11643,4284357,5066,16126
2025,May,5,Schoharie,3865,2246,695083,533,3332
2025,May,5,Schuyler,1880,1153,324805,288,1592
2025,May,5,Seneca,3539,2058,631722,746,2793
2025,May,5,Steuben,12293,6881,2146089,2563,9730
2025,May,5,Suffolk,127168,79963,27667220,20644,106524
2025,May,5,Sullivan,12968,6544,2604566,2130,10838
2025,May,5,Tioga,5267,2856,855033,817,4450
2025,May,5,Tompkins,7624,4789,1502087,1704,5920
2025,May,5,Ulster,17441,10991,3525819,3534,13907
2025,May,5,Warren,6954,4281,1286702,1210,5744
2025,May,5,Washington,6849,4066,1209582,1248,5601
2025,May,5,Wayne,8338,5045,1492474,1691,6647
2025,May,5,Westchester,73557,45280,15237695,16965,56592
2025,May,5,Wyoming,2469,1549,411983,553,1916
2025,May,5,Yates,2052,1257,353513,388,1664
2025,June,6,Rensselaer,15891,8630,3022866,3462,12429
2025,June,6,Albany,31863,18363,6328545,7530,24333
2025,June,6,Allegany,5238,3072,904587,1062,4176
2025,June,6,Broome,26568,15475,5104486,7013,19555
2025,June,6,Cattaraugus,10461,6007,1834053,2484,7977
2025,June,6,Cayuga,8577,4989,1565091,1912,6665
2025,June,6,Chautauqua,23438,13209,4418377,6121,17317
2025,June,6,Chemung,14163,8103,2763503,2741,11422
2025,June,6,Chenango,6637,3885,1160197,1161,5476
2025,June,6,Clinton,11800,7399,2217051,2869,8931
2025,June,6,Columbia,5133,3284,956648,1210,3923
2025,June,6,Cortland,5537,3328,1043725,1099,4438
2025,June,6,Delaware,4730,2802,826880,777,3953
2025,June,6,Dutchess,17190,11177,3442454,3741,13449
2025,June,6,Erie,140925,78265,27873054,33152,107773
2025,June,6,Essex,3004,1903,531510,586,2418
2025,June,6,Franklin,6717,4040,1251230,1721,4996
